case_id,source_tweet_id,customer_id,customer_text,brand_response,intent,high_risk
8746b7e5d534,616,115820,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG,delivery_issue,False
47d5c9c207cc,627,115827,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience. ^KM,delivery_issue,False
3f4ed2f1010b,628,115826,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,delivery_issue,False
e7ee3efaf774,632,115829,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG,delivery_issue,False
08ec2efcf014,634,115831,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH,delivery_issue,False
f7b41d20b699,645,115835,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,You can also request a call back here Martin ^KM,delivery_issue,False
961cc96ada94,646,115835,. Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: ^SY,delivery_issue,False
88547be11308,664,115842,"delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Oh no! Please contact us via phone/chat here: We're unable to view order details via Twitter. ^KL,delivery_issue,False
74da6152f5b2,667,115843,"Anna Inspired in idea lab at school to be package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna.",You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,delivery_issue,False
540d3e47795c,672,115844,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE,delivery_issue,False
c6cf93cb5f3e,676,115846,Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: ^BN,delivery_issue,False
b2029ba5ea10,678,115846,My package from with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.,"Sorry about your costume, Mike! Who's the carrier responsible for the delivery? Let's check here: ^JZ",delivery_issue,False
